horizon,mse,r_squared,rmse
49,16.42939296197016,-2.688961044806032,4.053318758988757
50,17.86084796274704,-3.0054954641562706,4.22620964491198
51,19.38771789903314,-3.3424876413982973,4.403148634674185
52,21.125672133123068,-3.726086754158901,4.596267195575456
53,23.087561848779387,-4.158488517535127,4.804951805042314
54,25.314399286682217,-4.648934925687996,5.031341698461974
55,27.906440172768534,-5.219384169071038,5.282654652044608
56,30.7535110342121,-5.8450846548720135,5.545584823462003
57,33.90335810247148,-6.536812272864095,5.822659023373383
58,37.483913946862074,-7.322365319371741,6.122410795337248
59,41.525914795054554,-8.208068622605435,6.44406042763835
60,46.03394332320526,-9.194845736329382,6.784831856664192
1,0.2504480763421553,0.9418713637408133,0.5004478757494684
2,0.5534930765943988,0.8716441058048872,0.7439711530660305
3,0.8207955561258361,0.8097949467476467,0.9059776797062035
4,1.092764974172395,0.7468948659780286,1.0453539946699373
5,1.3469664133156223,0.688170622531255,1.1605888218122826
6,1.5819020465498317,0.6339648348039002,1.2577368749264815
7,1.7906102758987184,0.585794788567497,1.3381368674013576
8,1.9650871812692758,0.5456572191152105,1.4018156730716331
9,2.190123637219812,0.4937819809749945,1.4799066312507057
10,2.4336593342650534,0.43770534054500887,1.5600190172767296
11,2.6692055665079386,0.3835390076011914,1.633770353050862
12,2.9095006836056125,0.32843561124152243,1.7057258524175603
13,3.1258072859044668,0.27893924785306734,1.7679952731567092
14,3.338865638594983,0.23030170568748076,1.827256314421976
15,3.5656649591655243,0.17834391561454177,1.8882968408503797
16,3.7720223903475825,0.13100378582107164,1.9421695060801418
17,3.9791818129634593,0.0836040740207914,1.9947886637344467
18,4.190914695839375,0.03538075175694522,2.0471723659329166
19,4.38099755424188,-0.008010357790179778,2.0930832650044957
20,4.540147621707328,-0.0436974422962122,2.1307622161347166
21,4.665523249918664,-0.07119750312540818,2.1599822337044032
22,4.768731892273123,-0.09354794146070122,2.1837426341657395
23,4.862541306957916,-0.11375832232677596,2.2051170732997187
24,4.972319133582879,-0.13767804165789244,2.2298697570896104
25,5.118273820986735,-0.1699591328254162,2.262360232365026
26,5.286223664834493,-0.2071211688758512,2.2991789110102965
27,5.457456061797968,-0.24467580487339124,2.3361198731653237
28,5.628698093093154,-0.28224291363797005,2.372487743507467
29,5.824026225226742,-0.3252955858433242,2.4133019341198776
30,5.99902351150476,-0.3636400206989261,2.449290409793163
31,6.18529692469599,-0.4044946899464996,2.4870257185433347
32,6.399382479031333,-0.45149142527447084,2.5297000768927793
33,6.629270873259571,-0.5021164150489905,2.5747370493430144
34,6.8770038202678885,-0.5567417620643134,2.6224042061184787
35,7.1465907125974235,-0.6161629928183585,2.673310814813239
36,7.4553128884247934,-0.68423540309018,2.7304418851945544
37,7.791187852295032,-0.7586059556684921,2.7912699354048565
38,8.180552734842648,-0.8452029794893452,2.860166557185551
39,8.602473417496077,-0.9391137334301107,2.9329973435883088
40,9.066135583671684,-1.0433473178794088,3.0110024217312885
41,9.600044337482387,-1.1634044238160905,3.0983938318881266
42,10.186428993340618,-1.2954683854471667,3.1916185538595645
43,10.769290478164239,-1.4275354303243684,3.281659713950281
44,11.411250270240354,-1.572216489091994,3.3780542136325096
45,12.138003045135083,-1.7353459479562856,3.4839636974479347
46,13.001461191326344,-1.9275917792990507,3.6057539005492796
47,13.848922761537414,-2.1157829025020236,3.7214140809022336
48,14.843483026020888,-2.336985953398269,3.8527241045811844
49,16.027009328722365,-2.5986121468549888,4.003374742479445
50,17.384114772204125,-2.898582699638302,4.169426192200088
51,18.828794076717486,-3.2172991172239342,4.33921583661351
52,20.46732609223339,-3.578806209242023,4.524082900680909
53,22.316530800423838,-3.9862158957807674,4.724037552816853
54,24.41224576969641,-4.447618415952982,4.940875000412013
55,26.846038740160786,-4.983057219378027,5.181316313463287
56,29.509942613989985,-5.56829248304239,5.4323054602986
57,32.44873919858861,-6.213446381674533,5.696379481617127
58,35.781986857673196,-6.944494988027898,5.98180464890598
59,39.537017769357696,-7.767045218634724,6.287846830939642
60,43.7160520470129,-8.681517042577163,6.6118115556186945
